City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Oistins,BB,13.0667,-59.5333,77.09,73,40,19.57,scattered clouds
317,Savinka,RU,50.0785,47.0994,19.18,96,99,8.41,overcast clouds
318,Zyryanka,RU,65.75,150.85,-17.52,98,100,7.54,overcast clouds
319,Reconquista,AR,-29.15,-59.65,79.23,31,0,5.48,clear sky
320,Chernyshevskiy,RU,63.0128,112.4714,-16.62,100,99,2.19,overcast clouds
321,Constitucion,CL,-35.3333,-72.4167,59.83,76,4,16.64,clear sky
322,Saint-Denis,FR,48.9167,2.3333,45.37,75,100,5.01,overcast clouds
323,Vostok,RU,46.4856,135.8833,-7.98,92,52,1.21,broken clouds
324,Teya,RU,60.3778,92.6267,-2.69,99,98,2.44,overcast clouds
325,Sendafa,ET,9.15,39.0333,49.01,47,28,0.65,scattered clouds
326,San Jeronimo,PE,-11.9472,-75.2829,46.67,93,100,1.36,overcast clouds
327,Kaeo,NZ,-35.1,173.7833,73.33,76,99,14.72,overcast clouds
328,Kemin,KG,42.7846,75.6892,20.1,67,37,5.01,scattered clouds
329,Zhigansk,RU,66.7697,123.3711,-33.65,100,100,1.41,overcast clouds
330,Suozhen,CN,36.9539,118.1047,29.26,42,45,11.83,scattered clouds
331,Kensington,AU,-33.9167,151.2167,82.63,71,75,6.91,broken clouds
332,Umm Lajj,SA,25.0213,37.2685,63.63,61,91,9.51,overcast clouds
333,Atambua,ID,-9.1061,124.8925,77.43,81,89,10.0,overcast clouds
334,Bjornevatn,NO,69.6672,29.9847,26.22,92,100,6.91,overcast clouds
335,Zharkent,KZ,44.1628,80.0,22.39,73,4,4.72,clear sky
336,Tibati,CM,6.4667,12.6333,70.59,18,91,8.34,overcast clouds
337,Mount Isa,AU,-20.7333,139.5,78.57,94,75,13.8,broken clouds
338,Kerema,PG,-7.9631,145.7785,79.11,75,100,1.52,overcast clouds
339,Falam,MM,22.9167,93.6833,37.13,70,1,3.31,clear sky
340,Correntina,BR,-13.3433,-44.6367,69.39,92,97,2.33,overcast clouds
341,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,20,11.5,few clouds
342,Zaykovo,RU,57.5613,62.7568,5.95,97,100,2.13,overcast clouds
343,Kamenka,RU,51.3223,42.7678,27.75,96,100,16.13,light snow
